Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
UDR,Real Estate,2019-09-09,36.597084045410156,27.3246,1000.0,2019-12-09,35.818111419677734,S1_rsc_debil,13,-2.13,-21.29
TFC,Financials,2019-12-09,41.58406066894531,23.5358,978.71,2020-01-27,38.280792236328125,S1_rsc_debil,7,-7.94,-77.75
TSN,Consumer Staples,2019-09-09,69.82711029052734,14.3211,1000.0,2020-02-03,66.1853256225586,S1_rsc_debil,21,-5.22,-52.15
EL,Consumer Staples,2019-09-09,178.38653564453125,5.6058,1000.0,2020-03-09,158.48309326171875,S2_mercado_bajista,26,-11.16,-111.57
LHX,Industrials,2019-09-09,182.01304626464844,5.4941,1000.0,2020-03-09,157.13140869140625,S2_mercado_bajista,26,-13.67,-136.7
WEC,Utilities,2019-09-09,73.32723999023438,13.6375,1000.0,2020-03-09,81.02540588378906,S2_mercado_bajista,26,10.5,104.98
EVRG,Utilities,2019-09-09,49.509708404541016,20.1981,1000.0,2020-03-09,46.252784729003906,S2_mercado_bajista,26,-6.58,-65.78
TJX,Consumer Discretionary,2019-09-09,51.82180404663086,19.2969,1000.0,2020-03-09,47.59514236450195,S2_mercado_bajista,26,-8.16,-81.56
NEE,Utilities,2019-09-09,46.18913650512695,21.6501,1000.0,2020-03-09,47.33462905883789,S2_mercado_bajista,26,2.48,24.8
AWK,Utilities,2019-09-09,106.26414489746094,9.4105,1000.0,2020-03-09,113.35944366455078,S2_mercado_bajista,26,6.68,66.77
SNPS,Information Technology,2019-09-09,134.63999938964844,7.4272,1000.0,2020-03-09,129.8800048828125,S2_mercado_bajista,26,-3.54,-35.35
ACN,Information Technology,2020-02-10,191.35768127441406,5.1468,984.88,2020-03-09,150.03514099121094,S2_mercado_bajista,4,-21.59,-212.68
CDW,Information Technology,2020-02-10,127.19994354248047,6.7919,863.93,2020-03-09,93.44148254394531,S2_mercado_bajista,4,-26.54,-229.29
WEC,Utilities,2020-04-13,81.775146484375,11.2166,917.24,2020-06-15,72.31378936767578,S1_rsc_debil,9,-11.57,-106.12
ES,Utilities,2020-04-13,72.42689514160156,12.6644,917.24,2020-08-10,69.43265533447266,S1_rsc_debil,17,-4.13,-37.92
XEL,Utilities,2020-04-13,55.36172866821289,16.5682,917.24,2020-08-24,56.97483825683594,S1_rsc_debil,19,2.91,26.73
AZO,Consumer Discretionary,2020-06-15,1130.5999755859375,0.7174,811.12,2020-08-24,1189.1199951171875,S1_rsc_debil,10,5.18,41.98
KHC,Consumer Staples,2020-04-13,21.657981872558594,42.3513,917.24,2020-09-14,22.5024356842041,S1_rsc_debil,22,3.9,35.76
AMGN,Health Care,2020-04-13,193.91114807128906,4.7302,917.24,2020-10-05,197.97836303710938,S1_rsc_debil,25,2.1,19.24
DPZ,Consumer Discretionary,2020-11-02,370.37738037109375,2.471,915.21,2020-11-23,361.688720703125,S1_rsc_debil,3,-2.35,-21.47
BBY,Consumer Discretionary,2020-11-23,87.95401763916016,10.0703,885.72,2020-12-28,78.35550689697266,S1_rsc_debil,5,-10.91,-96.66
CL,Consumer Staples,2020-04-13,63.737667083740234,14.3909,917.24,2021-01-04,72.30873107910156,S1_rsc_debil,38,13.45,123.35
META,Communication Services,2020-11-09,274.53912353515625,3.3336,915.21,2021-01-11,249.17185974121094,S1_rsc_debil,9,-9.24,-84.56
COST,Consumer Staples,2020-04-13,290.45538330078125,3.1579,917.24,2021-01-18,341.8355712890625,S1_rsc_debil,40,17.69,162.26
UNH,Health Care,2020-04-13,261.0924987792969,3.5131,917.24,2021-02-01,295.1200866699219,S1_rsc_debil,42,13.03,119.54
RMD,Health Care,2020-04-13,156.43922424316406,5.8633,917.24,2021-02-01,192.69334411621094,S1_rsc_debil,42,23.17,212.57
AMZN,Consumer Discretionary,2020-11-02,165.56849670410156,5.5277,915.21,2021-02-22,154.64649963378906,S1_rsc_debil,16,-6.6,-60.37
BBY,Consumer Discretionary,2021-01-04,84.46439361572266,10.8416,915.73,2021-02-22,78.79524230957031,S1_rsc_debil,7,-6.71,-61.46
TMO,Health Care,2020-04-13,326.0713195800781,2.813,917.24,2021-03-01,440.1635437011719,S1_rsc_debil,46,34.99,320.94
QCOM,Information Technology,2021-02-08,131.53724670410156,7.2733,956.71,2021-04-19,120.9554214477539,S1_rsc_debil,10,-8.04,-76.96
MTB,Financials,2021-04-19,129.7553253173828,7.4673,968.93,2021-07-12,116.74376678466797,S1_rsc_debil,12,-10.03,-97.16
DD,Materials,2021-02-08,80.84661102294922,11.8337,956.71,2021-07-19,84.62390899658203,S1_rsc_debil,23,4.67,44.7
FDX,Industrials,2020-12-28,188.55673217773438,4.1847,789.06,2021-07-26,204.35606384277344,S1_rsc_debil,30,8.38,66.12
VTR,Real Estate,2021-07-19,50.63097381591797,19.0334,963.68,2021-08-16,46.181209564208984,S1_rsc_debil,4,-8.79,-84.69
IEX,Industrials,2020-11-23,179.0240936279297,5.1002,913.06,2021-08-30,208.65316772460938,S1_rsc_debil,40,16.55,151.11
PYPL,Financials,2021-03-08,248.20046997070312,3.9348,976.62,2021-10-04,257.82708740234375,S1_rsc_debil,30,3.88,37.88
IP,Materials,2021-02-08,36.6057243347168,26.1356,956.71,2021-10-11,43.03226852416992,S1_rsc_debil,35,17.56,167.96
SW,Materials,2021-03-08,40.389591217041016,24.18,976.62,2021-10-18,41.20669174194336,S1_rsc_debil,32,2.02,19.76
HBAN,Financials,2021-08-23,12.545719146728516,76.6653,961.82,2021-11-22,12.444225311279297,S1_rsc_debil,13,-0.81,-7.78
ADBE,Information Technology,2021-10-18,643.5800170898438,1.553,999.49,2021-12-13,556.6400146484375,S1_rsc_debil,8,-13.51,-135.02
MSCI,Financials,2021-02-08,409.93756103515625,2.3338,956.71,2022-01-03,523.988037109375,S1_rsc_debil,47,27.82,266.17
ADI,Information Technology,2021-10-18,164.62281799316406,6.0714,999.49,2022-01-03,156.3802947998047,S1_rsc_debil,11,-5.01,-50.04
BLK,Financials,2021-07-19,770.2846069335938,1.2511,963.68,2022-01-10,759.01220703125,S1_rsc_debil,25,-1.46,-14.1
TSCO,Consumer Discretionary,2020-11-02,25.486984252929688,35.9089,915.21,2022-01-31,39.914794921875,S2_mercado_bajista,65,56.61,518.09
WAB,Industrials,2021-03-08,75.81591796875,12.8815,976.62,2022-01-31,85.73729705810547,S2_mercado_bajista,47,13.09,127.8
KIM,Real Estate,2021-07-26,17.11973762512207,56.6767,970.29,2022-01-31,19.41632652282715,S2_mercado_bajista,27,13.41,130.16
CB,Financials,2021-08-30,171.5065460205078,5.6962,976.93,2022-01-31,194.7820281982422,S2_mercado_bajista,22,13.57,132.58
NDAQ,Financials,2021-10-18,62.98078918457031,15.8698,999.49,2022-01-31,55.92026901245117,S2_mercado_bajista,15,-11.21,-112.05
UDR,Real Estate,2021-12-06,48.45441818237305,20.6114,998.71,2022-01-31,47.600765228271484,S2_mercado_bajista,8,-1.76,-17.6
MCD,Consumer Discretionary,2021-12-20,239.71249389648438,4.11,985.21,2022-01-31,234.40362548828125,S2_mercado_bajista,6,-2.21,-21.82
CB,Financials,2022-03-14,200.17987060546875,5.4008,1081.13,2022-04-25,195.39093017578125,S2_mercado_bajista,6,-2.39,-25.86
EXC,Utilities,2022-03-14,37.11186599731445,29.1317,1081.13,2022-04-25,40.140872955322266,S2_mercado_bajista,6,8.16,88.24
DOW,Materials,2022-03-14,49.18552017211914,21.9807,1081.13,2022-04-25,52.42566680908203,S2_mercado_bajista,6,6.59,71.22
LYB,Materials,2022-03-14,75.20703125,14.3754,1081.13,2022-04-25,77.8502426147461,S2_mercado_bajista,6,3.51,38.0
CINF,Financials,2022-03-14,114.8665542602539,9.4121,1081.13,2022-04-25,110.12608337402344,S2_mercado_bajista,6,-4.13,-44.62
L,Financials,2022-03-14,62.36341094970703,17.336,1081.13,2022-04-25,61.949371337890625,S2_mercado_bajista,6,-0.66,-7.18
AEP,Utilities,2022-03-14,80.62413024902344,13.4095,1081.13,2022-04-25,84.94374084472656,S2_mercado_bajista,6,5.36,57.92
AMGN,Health Care,2022-03-14,206.85748291015625,5.2265,1081.13,2022-04-25,204.17819213867188,S2_mercado_bajista,6,-1.3,-14.0
DTE,Utilities,2022-03-14,109.35778045654297,9.8862,1081.13,2022-04-25,113.66895294189453,S2_mercado_bajista,6,3.94,42.62
DG,Consumer Staples,2022-03-14,211.95706176757812,5.1007,1081.13,2022-04-25,219.78323364257812,S2_mercado_bajista,6,3.69,39.92
LLY,Health Care,2022-05-30,291.8042297363281,3.7894,1105.76,2022-06-06,287.315673828125,S2_mercado_bajista,1,-1.54,-17.01
AMT,Real Estate,2022-05-30,231.57432556152344,4.775,1105.76,2022-06-06,217.92625427246094,S2_mercado_bajista,1,-5.89,-65.17
DOW,Materials,2022-05-30,53.39444351196289,20.7092,1105.76,2022-06-06,49.28411102294922,S2_mercado_bajista,1,-7.7,-85.12
MCK,Health Care,2022-05-30,310.27117919921875,3.5638,1105.76,2022-06-06,307.2898864746094,S2_mercado_bajista,1,-0.96,-10.62
SO,Utilities,2022-05-30,65.13130950927734,16.9774,1105.76,2022-06-06,62.431209564208984,S2_mercado_bajista,1,-4.15,-45.84
LIN,Materials,2022-05-30,314.6495666503906,3.5143,1105.76,2022-06-06,294.7315673828125,S2_mercado_bajista,1,-6.33,-70.0
WEC,Utilities,2022-05-30,90.6327133178711,12.2004,1105.76,2022-06-06,86.39598083496094,S2_mercado_bajista,1,-4.67,-51.69
DLTR,Consumer Staples,2022-05-30,159.8800048828125,6.9162,1105.76,2022-06-06,156.0,S2_mercado_bajista,1,-2.43,-26.83
NI,Utilities,2022-05-30,27.560840606689453,40.1206,1105.76,2022-06-06,26.359106063842773,S2_mercado_bajista,1,-4.36,-48.21
CF,Materials,2022-05-30,87.87239837646484,12.5837,1105.76,2022-06-06,80.4106674194336,S2_mercado_bajista,1,-8.49,-93.9
WAT,Health Care,2022-07-11,334.010009765625,3.1565,1054.32,2022-08-22,300.80999755859375,S1_rsc_debil,6,-9.94,-104.8
CI,Health Care,2022-07-11,254.72152709960938,4.1391,1054.32,2022-09-26,258.85150146484375,S2_mercado_bajista,11,1.62,17.09
GIS,Consumer Staples,2022-07-11,63.52497863769531,16.5969,1054.32,2022-09-26,64.95793914794922,S2_mercado_bajista,11,2.26,23.78
UNH,Health Care,2022-07-11,491.739013671875,2.1441,1054.32,2022-09-26,470.27301025390625,S2_mercado_bajista,11,-4.37,-46.02
MCK,Health Care,2022-07-11,323.62823486328125,3.2578,1054.32,2022-09-26,333.8028564453125,S2_mercado_bajista,11,3.14,33.15
BF-B,Consumer Staples,2022-07-11,65.4700927734375,16.1038,1054.32,2022-09-26,61.28657531738281,S2_mercado_bajista,11,-6.39,-67.37
AMT,Real Estate,2022-07-11,224.63107299804688,4.6936,1054.32,2022-09-26,187.5127716064453,S2_mercado_bajista,11,-16.52,-174.22
AMGN,Health Care,2022-07-11,219.499267578125,4.8033,1054.32,2022-09-26,200.47938537597656,S2_mercado_bajista,11,-8.67,-91.36
COST,Consumer Staples,2022-07-11,498.7400817871094,2.114,1054.32,2022-09-26,451.1836853027344,S2_mercado_bajista,11,-9.54,-100.53
STZ,Consumer Staples,2022-07-11,226.77349853515625,4.6492,1054.32,2022-09-26,213.7210235595703,S2_mercado_bajista,11,-5.76,-60.68
SJM,Consumer Staples,2022-08-22,123.74852752685547,7.673,949.52,2022-09-26,120.0952377319336,S2_mercado_bajista,5,-2.95,-28.03
AJG,Financials,2022-10-24,181.7631378173828,5.471,994.42,2022-10-31,181.58001708984375,S2_mercado_bajista,1,-0.1,-1.0
ALLE,Industrials,2022-10-24,101.00758361816406,9.845,994.42,2022-10-31,98.08740997314453,S2_mercado_bajista,1,-2.89,-28.75
AIG,Financials,2022-10-24,52.20354080200195,19.0489,994.42,2022-10-31,53.232906341552734,S2_mercado_bajista,1,1.97,19.61
MSCI,Financials,2022-10-24,453.386474609375,2.1933,994.42,2022-10-31,440.61474609375,S2_mercado_bajista,1,-2.82,-28.01
URI,Industrials,2022-10-24,298.5484313964844,3.3308,994.42,2022-10-31,312.31915283203125,S2_mercado_bajista,1,4.61,45.87
LHX,Industrials,2022-10-24,230.46231079101562,4.3149,994.42,2022-10-31,212.4785919189453,S2_mercado_bajista,1,-7.8,-77.6
BSX,Health Care,2022-10-24,43.15999984741211,23.0403,994.42,2022-10-31,41.59000015258789,S2_mercado_bajista,1,-3.64,-36.17
SYK,Health Care,2022-10-24,220.78118896484375,4.5041,994.42,2022-10-31,203.203857421875,S2_mercado_bajista,1,-7.96,-79.17
PEP,Consumer Staples,2022-10-24,160.8839111328125,6.181,994.42,2022-10-31,157.8380584716797,S2_mercado_bajista,1,-1.89,-18.83
SYY,Consumer Staples,2022-10-24,77.58809661865234,12.8166,994.42,2022-10-31,74.22216033935547,S2_mercado_bajista,1,-4.34,-43.14
CVS,Health Care,2022-11-28,89.93373107910156,10.7824,969.7,2023-01-09,78.83448028564453,S1_rsc_debil,6,-12.34,-119.68
ALB,Materials,2022-11-28,270.0855407714844,3.5903,969.7,2023-03-06,214.23043823242188,S1_rsc_debil,14,-20.68,-200.54
ELV,Health Care,2022-11-28,495.3264465332031,1.9577,969.7,2023-03-20,433.4039611816406,S1_rsc_debil,16,-12.5,-121.23
UPS,Industrials,2023-03-27,162.9484405517578,5.6801,925.56,2023-05-01,147.61874389648438,S1_rsc_debil,5,-9.41,-87.07
TMO,Health Care,2023-01-09,577.5050048828125,1.4719,850.02,2023-05-08,519.2929077148438,S1_rsc_debil,17,-10.08,-85.68
PKG,Materials,2022-11-28,123.8452377319336,7.8299,969.7,2023-05-15,118.5626220703125,S1_rsc_debil,24,-4.27,-41.36
HUM,Health Care,2022-11-28,524.4755859375,1.8489,969.7,2023-05-22,477.9427185058594,S1_rsc_debil,25,-8.87,-86.03
BDX,Health Care,2022-11-28,184.9414520263672,5.2433,969.7,2023-05-22,178.03375244140625,S1_rsc_debil,25,-3.74,-36.22
CL,Consumer Staples,2023-05-01,75.07501983642578,11.1686,838.48,2023-05-29,70.84571838378906,S1_rsc_debil,4,-5.63,-47.24
CLX,Consumer Staples,2022-11-28,132.83328247070312,7.3001,969.7,2023-07-10,138.37681579589844,S1_rsc_debil,32,4.17,40.47
IT,Information Technology,2023-05-22,343.260009765625,2.5984,891.92,2023-07-31,336.8299865722656,S1_rsc_debil,10,-1.87,-16.71
FSLR,Information Technology,2023-05-15,203.52999877929688,4.4423,904.14,2023-08-21,177.4499969482422,S1_rsc_debil,14,-12.81,-115.86
TER,Information Technology,2023-05-22,102.52865600585938,8.6992,891.92,2023-09-04,98.6654052734375,S1_rsc_debil,15,-3.77,-33.61
DRI,Consumer Discretionary,2023-07-10,151.87278747558594,5.8683,891.24,2023-09-04,135.5463104248047,S1_rsc_debil,8,-10.75,-95.81
MCK,Health Care,2022-11-28,380.4823303222656,2.5486,969.7,2023-10-02,439.8910827636719,S2_mercado_bajista,44,15.61,151.41
PH,Industrials,2022-11-28,285.6006164550781,3.3953,969.7,2023-10-02,380.76300048828125,S2_mercado_bajista,44,33.32,323.1
CBOE,Financials,2022-11-28,123.71659851074219,7.8381,969.7,2023-10-02,157.6056671142578,S2_mercado_bajista,44,27.39,265.63
ITW,Industrials,2023-03-27,225.49911499023438,3.0691,692.08,2023-10-02,220.2008514404297,S2_mercado_bajista,27,-2.35,-16.26
PTC,Information Technology,2023-05-15,134.2100067138672,5.8754,788.54,2023-10-02,140.33999633789062,S2_mercado_bajista,20,4.57,36.02
NXPI,Information Technology,2023-05-29,171.19815063476562,4.8164,824.56,2023-10-02,189.5751190185547,S2_mercado_bajista,18,10.73,88.51
ORLY,Consumer Discretionary,2023-10-30,63.522666931152344,14.9535,949.88,2023-12-18,63.47066879272461,S1_rsc_debil,7,-0.08,-0.78
CMCSA,Communication Services,2023-10-30,36.4915657043457,26.0302,949.88,2024-01-15,36.87913131713867,S1_rsc_debil,11,1.06,10.09
LULU,Consumer Discretionary,2023-10-30,407.92999267578125,2.3285,949.88,2024-03-18,403.19000244140625,S1_rsc_debil,20,-1.16,-11.04
ROP,Information Technology,2023-10-30,493.1862487792969,1.926,949.88,2024-04-01,534.4039306640625,S1_rsc_debil,22,8.36,79.39
ETR,Utilities,2024-05-27,53.100074768066406,18.0348,957.65,2024-06-10,50.518001556396484,S1_rsc_debil,2,-4.86,-46.57
DPZ,Consumer Discretionary,2023-10-30,346.6297607421875,2.7403,949.88,2024-07-15,390.6551818847656,S1_rsc_debil,37,12.7,120.64
SNPS,Information Technology,2024-01-15,517.3099975585938,1.838,950.82,2024-07-15,563.1199951171875,S1_rsc_debil,26,8.86,84.2
CMG,Consumer Discretionary,2023-10-30,40.81060028076172,23.2754,949.88,2024-07-22,49.83000183105469,S1_rsc_debil,38,22.1,209.93
WDC,Information Technology,2023-10-30,32.36128234863281,29.3525,949.88,2024-07-29,43.060604095458984,S1_rsc_debil,39,33.06,314.05
MSFT,Information Technology,2023-12-18,367.4407653808594,2.583,949.11,2024-08-19,411.0807800292969,S1_rsc_debil,35,11.88,112.72
MPWR,Information Technology,2023-10-30,483.0697326660156,1.9664,949.88,2024-10-28,748.9166870117188,S1_rsc_debil,52,55.03,522.75
PRU,Financials,2024-08-26,110.97198486328125,9.346,1037.15,2024-12-09,111.48014068603516,S1_rsc_debil,15,0.46,4.75
ICE,Financials,2024-03-25,133.74256896972656,7.0883,948.0,2024-12-23,147.60958862304688,S1_rsc_debil,39,10.37,98.29
HLT,Consumer Discretionary,2023-10-30,155.73089599609375,6.0995,949.88,2025-03-03,246.4844970703125,S2_mercado_bajista,70,58.28,553.55
APH,Information Technology,2023-10-30,41.47193908691406,22.9043,949.88,2025-03-03,62.232295989990234,S1_rsc_debil+S2_mercado_bajista,70,50.06,475.5
GEN,Information Technology,2024-06-10,23.49578285217285,40.5602,952.99,2025-03-03,27.549623489379883,S2_mercado_bajista,38,17.25,164.42
MET,Financials,2024-08-26,73.67826843261719,14.0767,1037.15,2025-03-03,79.26593780517578,S2_mercado_bajista,27,7.58,78.66
VST,Utilities,2024-08-26,84.39244079589844,12.2896,1037.15,2025-03-03,113.3835678100586,S2_mercado_bajista,27,34.35,356.29
BAC,Financials,2024-08-26,38.92722702026367,26.6433,1037.15,2025-03-03,40.2800178527832,S2_mercado_bajista,27,3.48,36.04
CEG,Utilities,2024-08-26,194.73385620117188,5.326,1037.15,2025-03-03,211.14004516601562,S1_rsc_debil+S2_mercado_bajista,27,8.42,87.38
WEC,Utilities,2024-11-04,91.9992904663086,11.8417,1089.42,2025-03-03,102.46995544433594,S2_mercado_bajista,17,11.38,123.99
FISV,Financials,2024-12-09,204.66000366210938,5.3254,1089.9,2025-03-03,218.0399932861328,S2_mercado_bajista,12,6.54,71.25
PNC,Financials,2025-01-20,191.04893493652344,5.7563,1099.73,2025-03-03,172.1288299560547,S2_mercado_bajista,6,-9.9,-108.91
