Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
AEE,Utilities,2019-09-09,63.18887710571289,15.8256,1000.0,2019-11-04,60.88736343383789,S1_rsc_debil,8,-3.64,-36.42
AKAM,Information Technology,2019-09-16,89.43000030517578,11.1819,1000.0,2020-03-09,85.7300033569336,S2_mercado_bajista,25,-4.14,-41.37
ADP,Industrials,2019-11-11,147.46571350097656,6.7565,996.36,2020-03-09,125.94451904296875,S2_mercado_bajista,17,-14.59,-145.41
ACN,Information Technology,2020-01-06,186.39305114746094,5.3455,996.36,2020-03-09,150.03514099121094,S2_mercado_bajista,9,-19.51,-194.35
AEE,Utilities,2020-04-13,65.02483367919922,14.7366,958.24,2020-05-11,57.447105407714844,S1_rsc_debil,4,-11.65,-111.67
ABBV,Health Care,2020-04-13,65.3839111328125,14.6557,958.24,2020-09-21,68.38668060302734,S1_rsc_debil,23,4.59,44.01
AKAM,Information Technology,2020-06-01,99.0,9.5664,947.08,2020-10-26,95.12000274658203,S1_rsc_debil,21,-3.92,-37.12
ADBE,Information Technology,2020-04-13,344.1099853515625,2.7847,958.24,2021-01-11,458.0799865722656,S1_rsc_debil,39,33.12,317.37
ADSK,Information Technology,2020-04-13,180.94000244140625,5.2959,958.24,2021-03-15,261.5,S1_rsc_debil,48,44.52,426.64
ABT,Health Care,2020-06-08,79.27533721923828,11.9467,947.08,2021-04-26,108.53923797607422,S1_rsc_debil,46,36.91,349.61
AAPL,Information Technology,2020-04-13,68.26892852783203,14.0363,958.24,2021-05-10,124.23212432861328,S1_rsc_debil,56,81.97,785.52
ADI,Information Technology,2021-04-05,147.52166748046875,6.9289,1022.17,2021-08-30,149.87857055664062,S1_rsc_debil,21,1.6,16.33
AFL,Financials,2021-07-19,47.627342224121094,23.8451,1135.68,2021-10-25,48.17143249511719,S1_rsc_debil,14,1.14,12.97
ADBE,Information Technology,2021-10-18,643.5800170898438,1.7672,1137.31,2021-12-13,556.6400146484375,S1_rsc_debil,8,-13.51,-153.64
A,Health Care,2020-04-13,76.13611602783203,12.5859,958.24,2022-01-03,140.4479522705078,S1_rsc_debil,90,84.47,809.42
ADI,Information Technology,2021-10-18,164.62281799316406,6.9086,1137.31,2022-01-03,156.3802947998047,S1_rsc_debil,11,-5.01,-56.94
AJG,Financials,2021-08-30,138.5340576171875,8.2096,1137.31,2022-01-31,149.2494659423828,S2_mercado_bajista,22,7.73,87.97
AEP,Utilities,2022-03-14,80.62413024902344,14.9743,1207.29,2022-04-25,84.94374084472656,S2_mercado_bajista,6,5.36,64.68
AFL,Financials,2022-03-14,57.18259811401367,21.1129,1207.29,2022-04-25,52.03207015991211,S2_mercado_bajista,6,-9.01,-108.74
AIG,Financials,2022-03-14,55.41706466674805,21.7856,1207.29,2022-04-25,53.128822326660156,S2_mercado_bajista,6,-4.13,-49.85
AEE,Utilities,2022-03-14,77.3498306274414,15.6082,1207.29,2022-04-25,81.79621887207031,S2_mercado_bajista,6,5.75,69.4
ADM,Consumer Staples,2022-05-30,78.00045776367188,15.4466,1204.84,2022-06-06,75.13458251953125,S2_mercado_bajista,1,-3.67,-44.27
AEE,Utilities,2022-05-30,82.15724182128906,14.6651,1204.84,2022-06-06,79.07453155517578,S2_mercado_bajista,1,-3.75,-45.21
ADP,Industrials,2022-05-30,200.52301025390625,6.0085,1204.84,2022-06-06,193.2039794921875,S2_mercado_bajista,1,-3.65,-43.98
ABT,Health Care,2022-05-30,106.97527313232422,11.2628,1204.84,2022-06-06,100.60649871826172,S2_mercado_bajista,1,-5.95,-71.73
