Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
TSN,Consumer Staples,2019-09-09,69.82711029052734,14.3211,1000.0,2020-02-03,66.1853256225586,S1_rsc_debil,21,-5.22,-52.15
AMP,Financials,2019-09-09,131.23016357421875,7.6202,1000.0,2020-03-02,114.03733825683594,S1_rsc_debil,25,-13.1,-131.01
EL,Consumer Staples,2019-09-09,178.38653564453125,5.6058,1000.0,2020-03-09,158.48309326171875,S2_mercado_bajista,26,-11.16,-111.57
LHX,Industrials,2019-09-09,182.01304626464844,5.4941,1000.0,2020-03-09,157.13140869140625,S2_mercado_bajista,26,-13.67,-136.7
WEC,Utilities,2019-09-09,73.32723999023438,13.6375,1000.0,2020-03-09,81.02540588378906,S2_mercado_bajista,26,10.5,104.98
FISV,Financials,2019-09-09,102.5999984741211,9.7466,1000.0,2020-03-09,103.41999816894531,S2_mercado_bajista,26,0.8,7.99
EVRG,Utilities,2019-09-09,49.509708404541016,20.1981,1000.0,2020-03-09,46.252784729003906,S2_mercado_bajista,26,-6.58,-65.78
GPN,Financials,2019-09-09,158.38485717773438,6.3137,1000.0,2020-03-09,163.9247283935547,S2_mercado_bajista,26,3.5,34.98
TJX,Consumer Discretionary,2019-09-09,51.82180404663086,19.2969,1000.0,2020-03-09,47.59514236450195,S2_mercado_bajista,26,-8.16,-81.56
NEE,Utilities,2019-09-09,46.18913650512695,21.6501,1000.0,2020-03-09,47.33462905883789,S2_mercado_bajista,26,2.48,24.8
META,Communication Services,2020-02-10,212.3155517578125,4.4643,947.85,2020-03-09,168.79766845703125,S2_mercado_bajista,4,-20.5,-194.28
WEC,Utilities,2020-04-13,81.775146484375,11.4946,939.97,2020-06-15,72.31378936767578,S1_rsc_debil,9,-11.57,-108.75
ES,Utilities,2020-04-13,72.42689514160156,12.9782,939.97,2020-08-10,69.43265533447266,S1_rsc_debil,17,-4.13,-38.86
XEL,Utilities,2020-04-13,55.36172866821289,16.9787,939.97,2020-08-24,56.97483825683594,S1_rsc_debil,19,2.91,27.39
AZO,Consumer Discretionary,2020-06-15,1130.5999755859375,0.7352,831.21,2020-08-24,1189.1199951171875,S1_rsc_debil,10,5.18,43.02
KHC,Consumer Staples,2020-04-13,21.657981872558594,43.4006,939.97,2020-09-14,22.5024356842041,S1_rsc_debil,22,3.9,36.65
AMGN,Health Care,2020-04-13,193.91114807128906,4.8474,939.97,2020-10-05,197.97836303710938,S1_rsc_debil,25,2.1,19.72
DPZ,Consumer Discretionary,2020-11-02,370.37738037109375,2.5322,937.88,2020-11-23,361.688720703125,S1_rsc_debil,3,-2.35,-22.0
BBY,Consumer Discretionary,2020-11-23,87.95401763916016,10.3198,907.67,2020-12-28,78.35550689697266,S1_rsc_debil,5,-10.91,-99.05
CL,Consumer Staples,2020-04-13,63.737667083740234,14.7475,939.97,2021-01-04,72.30873107910156,S1_rsc_debil,38,13.45,126.4
META,Communication Services,2020-11-09,274.53912353515625,3.4162,937.88,2021-01-11,249.17185974121094,S1_rsc_debil,9,-9.24,-86.66
COST,Consumer Staples,2020-04-13,290.45538330078125,3.2362,939.97,2021-01-18,341.8355712890625,S1_rsc_debil,40,17.69,166.28
UNH,Health Care,2020-04-13,261.0924987792969,3.6001,939.97,2021-02-01,295.1200866699219,S1_rsc_debil,42,13.03,122.5
RMD,Health Care,2020-04-13,156.43922424316406,6.0085,939.97,2021-02-01,192.69334411621094,S1_rsc_debil,42,23.17,217.83
AMZN,Consumer Discretionary,2020-11-02,165.56849670410156,5.6646,937.88,2021-02-22,154.64649963378906,S1_rsc_debil,16,-6.6,-61.87
BBY,Consumer Discretionary,2021-01-04,84.46439361572266,11.1102,938.42,2021-02-22,78.79524230957031,S1_rsc_debil,7,-6.71,-62.99
TMO,Health Care,2020-04-13,326.0713195800781,2.8827,939.97,2021-03-01,440.1635437011719,S1_rsc_debil,46,34.99,328.89
QCOM,Information Technology,2021-02-08,131.53724670410156,7.4535,980.41,2021-04-19,120.9554214477539,S1_rsc_debil,10,-8.04,-78.87
MTB,Financials,2021-04-19,129.7553253173828,7.6523,992.93,2021-07-12,116.74376678466797,S1_rsc_debil,12,-10.03,-99.57
DD,Materials,2021-02-08,80.84661102294922,12.1269,980.41,2021-07-19,84.62390899658203,S1_rsc_debil,23,4.67,45.81
FDX,Industrials,2020-12-28,188.55673217773438,4.2884,808.61,2021-07-26,204.35606384277344,S1_rsc_debil,30,8.38,67.75
VTR,Real Estate,2021-07-19,50.63097381591797,19.505,987.56,2021-08-16,46.181209564208984,S1_rsc_debil,4,-8.79,-86.79
