Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
EOG,Energy,2021-08-09,53.69847106933594,18.6225,1000.0,2021-08-16,50.910888671875,S1_rsc_debil,1,-5.19,-51.91
ADI,Information Technology,2021-08-09,156.26748657226562,6.3993,1000.0,2021-08-30,149.87850952148438,S1_rsc_debil,3,-4.09,-40.88
CFG,Financials,2021-08-09,36.69825744628906,27.2493,1000.0,2021-08-30,35.30475616455078,S1_rsc_debil,3,-3.8,-37.97
BEN,Financials,2021-08-09,25.578977584838867,39.0946,1000.0,2021-10-11,23.669986724853516,S1_rsc_debil,9,-7.46,-74.63
HBAN,Financials,2021-08-09,12.144899368286133,82.3391,1000.0,2021-11-01,12.832855224609375,S1_rsc_debil,12,5.66,56.65
BKR,Energy,2021-10-18,22.04873275756836,40.0193,882.37,2021-11-08,21.955759048461914,S1_rsc_debil,3,-0.42,-3.72
AXP,Financials,2021-08-09,156.2866973876953,6.3985,1000.0,2021-11-22,147.93959045410156,S1_rsc_debil,15,-5.34,-53.41
ADI,Information Technology,2021-10-18,164.622802734375,5.9497,979.46,2021-12-13,157.55657958984375,S1_rsc_debil,8,-4.29,-42.04
ADBE,Information Technology,2021-10-18,643.5800170898438,1.5219,979.46,2021-12-13,556.6400146484375,S1_rsc_debil,8,-13.51,-132.31
NDAQ,Financials,2021-10-18,62.98079299926758,15.5517,979.46,2022-01-24,54.68052291870117,S1_rsc_debil,14,-13.18,-129.08
APH,Information Technology,2021-08-09,35.3615608215332,28.2793,1000.0,2022-01-31,37.805152893066406,S2_mercado_bajista,25,6.91,69.1
KIM,Real Estate,2021-08-09,17.689592361450195,56.5304,1000.0,2022-01-31,19.41632843017578,S2_mercado_bajista,25,9.76,97.61
CB,Financials,2021-08-30,171.50656127929688,5.7544,986.92,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,133.94
AJG,Financials,2021-08-30,138.53404235839844,7.124,986.92,2022-01-31,149.24949645996094,S2_mercado_bajista,22,7.73,76.34
BRO,Financials,2021-11-01,60.037017822265625,16.4086,985.12,2022-01-31,65.522705078125,S2_mercado_bajista,13,9.14,90.01
MRSH,Financials,2021-11-08,155.59654235839844,6.1067,950.17,2022-01-31,143.5326385498047,S2_mercado_bajista,12,-7.75,-73.67
UDR,Real Estate,2021-12-06,48.45441818237305,19.5357,946.59,2022-01-31,47.600772857666016,S2_mercado_bajista,8,-1.76,-16.68
MCD,Consumer Discretionary,2021-12-20,239.7125701904297,4.013,961.98,2022-01-31,234.4036102294922,S2_mercado_bajista,6,-2.21,-21.31
MSI,Information Technology,2021-12-20,249.28579711914062,3.2998,822.59,2022-01-31,223.37110900878906,S2_mercado_bajista,6,-10.4,-85.51
VNO,Real Estate,2022-03-14,40.80473709106445,23.9201,976.05,2022-04-04,36.66499710083008,S1_rsc_debil,3,-10.15,-99.02
CB,Financials,2022-03-14,200.17987060546875,4.8759,976.05,2022-04-25,195.3909149169922,S2_mercado_bajista,6,-2.39,-23.35
EXC,Utilities,2022-03-14,37.11186218261719,26.3003,976.05,2022-04-25,40.140865325927734,S2_mercado_bajista,6,8.16,79.66
DOW,Materials,2022-03-14,49.185523986816406,19.8443,976.05,2022-04-25,52.42566680908203,S2_mercado_bajista,6,6.59,64.3
LYB,Materials,2022-03-14,75.20703125,12.9782,976.05,2022-04-25,77.85025024414062,S2_mercado_bajista,6,3.51,34.3
CINF,Financials,2022-03-14,114.86656188964844,8.4973,976.05,2022-04-25,110.1260757446289,S2_mercado_bajista,6,-4.13,-40.28
L,Financials,2022-03-14,62.3634033203125,15.651,976.05,2022-04-25,61.949371337890625,S2_mercado_bajista,6,-0.66,-6.48
AEP,Utilities,2022-03-14,80.62413787841797,12.1062,976.05,2022-04-25,84.94371795654297,S2_mercado_bajista,6,5.36,52.29
AMGN,Health Care,2022-03-14,206.85748291015625,4.7185,976.05,2022-04-25,204.17819213867188,S2_mercado_bajista,6,-1.3,-12.64
DTE,Utilities,2022-03-14,109.35777282714844,8.9253,976.05,2022-04-25,113.6689453125,S2_mercado_bajista,6,3.94,38.48
LLY,Health Care,2022-05-30,291.8042297363281,3.3748,984.78,2022-06-06,287.315673828125,S2_mercado_bajista,1,-1.54,-15.15
AMT,Real Estate,2022-05-30,231.57437133789062,4.2525,984.78,2022-06-06,217.9262237548828,S2_mercado_bajista,1,-5.89,-58.04
DOW,Materials,2022-05-30,53.39444351196289,18.4435,984.78,2022-06-06,49.28411102294922,S2_mercado_bajista,1,-7.7,-75.81
MCK,Health Care,2022-05-30,310.271240234375,3.1739,984.78,2022-06-06,307.28985595703125,S2_mercado_bajista,1,-0.96,-9.46
SO,Utilities,2022-05-30,65.13130950927734,15.1199,984.78,2022-06-06,62.431209564208984,S2_mercado_bajista,1,-4.15,-40.83
LIN,Materials,2022-05-30,314.6495666503906,3.1298,984.78,2022-06-06,294.7315368652344,S2_mercado_bajista,1,-6.33,-62.34
WEC,Utilities,2022-05-30,90.63270568847656,10.8656,984.78,2022-06-06,86.39599609375,S2_mercado_bajista,1,-4.67,-46.03
DLTR,Consumer Staples,2022-05-30,159.8800048828125,6.1595,984.78,2022-06-06,156.0,S2_mercado_bajista,1,-2.43,-23.9
NI,Utilities,2022-05-30,27.560836791992188,35.7311,984.78,2022-06-06,26.359107971191406,S2_mercado_bajista,1,-4.36,-42.94
CF,Materials,2022-05-30,87.87240600585938,11.2069,984.78,2022-06-06,80.41067504882812,S2_mercado_bajista,1,-8.49,-83.62
WAT,Health Care,2022-07-11,334.010009765625,2.8112,938.97,2022-08-22,300.80999755859375,S1_rsc_debil,6,-9.94,-93.33
CI,Health Care,2022-07-11,254.72145080566406,3.6862,938.97,2022-09-26,258.8514709472656,S2_mercado_bajista,11,1.62,15.22
GIS,Consumer Staples,2022-07-11,63.524986267089844,14.7811,938.97,2022-09-26,64.95796203613281,S2_mercado_bajista,11,2.26,21.18
UNH,Health Care,2022-07-11,491.7390441894531,1.9095,938.97,2022-09-26,470.2730407714844,S2_mercado_bajista,11,-4.37,-40.99
MCK,Health Care,2022-07-11,323.6282043457031,2.9014,938.97,2022-09-26,333.8028564453125,S2_mercado_bajista,11,3.14,29.52
BF-B,Consumer Staples,2022-07-11,65.47008514404297,14.3419,938.97,2022-09-26,61.28658676147461,S2_mercado_bajista,11,-6.39,-60.0
AMT,Real Estate,2022-07-11,224.631103515625,4.18,938.97,2022-09-26,187.5127716064453,S2_mercado_bajista,11,-16.52,-155.16
AMGN,Health Care,2022-07-11,219.499267578125,4.2778,938.97,2022-09-26,200.47935485839844,S2_mercado_bajista,11,-8.67,-81.36
COST,Consumer Staples,2022-07-11,498.7400207519531,1.8827,938.97,2022-09-26,451.18365478515625,S2_mercado_bajista,11,-9.54,-89.53
