Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
APH,Information Technology,2021-08-09,35.3615608215332,28.2793,1000.0,2022-01-31,37.805152893066406,S2_mercado_bajista,25,6.91,69.1
KIM,Real Estate,2021-08-09,17.689592361450195,56.5304,1000.0,2022-01-31,19.41632843017578,S2_mercado_bajista,25,9.76,97.61
BEN,Financials,2021-08-09,25.578977584838867,39.0946,1000.0,2022-01-31,24.724634170532227,S2_mercado_bajista,25,-3.34,-33.4
ADI,Information Technology,2021-08-09,156.26748657226562,6.3993,1000.0,2022-01-31,149.1466064453125,S2_mercado_bajista,25,-4.56,-45.57
AXP,Financials,2021-08-09,156.2866973876953,6.3985,1000.0,2022-01-31,175.76571655273438,S2_mercado_bajista,25,12.46,124.64
HBAN,Financials,2021-08-09,12.144899368286133,82.3391,1000.0,2022-01-31,12.9471435546875,S2_mercado_bajista,25,6.61,66.06
CFG,Financials,2021-08-09,36.69825744628906,27.2493,1000.0,2022-01-31,45.00993728637695,S2_mercado_bajista,25,22.65,226.49
EOG,Energy,2021-08-09,53.69847106933594,18.6225,1000.0,2022-01-31,92.9744873046875,S2_mercado_bajista,25,73.14,731.42
CB,Financials,2021-08-30,171.50656127929688,5.8307,1000.0,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,135.71
AJG,Financials,2021-08-30,138.53404235839844,7.2184,1000.0,2022-01-31,149.24949645996094,S2_mercado_bajista,22,7.73,77.35
CB,Financials,2022-03-14,200.17987060546875,5.7196,1144.94,2022-04-25,195.3909149169922,S2_mercado_bajista,6,-2.39,-27.39
EXC,Utilities,2022-03-14,37.11186218261719,30.8511,1144.94,2022-04-25,40.140865325927734,S2_mercado_bajista,6,8.16,93.45
DOW,Materials,2022-03-14,49.185523986816406,23.278,1144.94,2022-04-25,52.42566680908203,S2_mercado_bajista,6,6.59,75.42
LYB,Materials,2022-03-14,75.20703125,15.2238,1144.94,2022-04-25,77.85025024414062,S2_mercado_bajista,6,3.51,40.24
VNO,Real Estate,2022-03-14,40.80473709106445,28.059,1144.94,2022-04-25,34.24129867553711,S2_mercado_bajista,6,-16.08,-184.16
CINF,Financials,2022-03-14,114.86656188964844,9.9676,1144.94,2022-04-25,110.1260757446289,S2_mercado_bajista,6,-4.13,-47.25
L,Financials,2022-03-14,62.3634033203125,18.3592,1144.94,2022-04-25,61.949371337890625,S2_mercado_bajista,6,-0.66,-7.6
AEP,Utilities,2022-03-14,80.62413787841797,14.201,1144.94,2022-04-25,84.94371795654297,S2_mercado_bajista,6,5.36,61.34
AMGN,Health Care,2022-03-14,206.85748291015625,5.5349,1144.94,2022-04-25,204.17819213867188,S2_mercado_bajista,6,-1.3,-14.83
DTE,Utilities,2022-03-14,109.35777282714844,10.4697,1144.94,2022-04-25,113.6689453125,S2_mercado_bajista,6,3.94,45.14
LLY,Health Care,2022-05-30,291.8042297363281,3.9354,1148.38,2022-06-06,287.315673828125,S2_mercado_bajista,1,-1.54,-17.66
AMT,Real Estate,2022-05-30,231.57437133789062,4.959,1148.38,2022-06-06,217.9262237548828,S2_mercado_bajista,1,-5.89,-67.68
DOW,Materials,2022-05-30,53.39444351196289,21.5074,1148.38,2022-06-06,49.28411102294922,S2_mercado_bajista,1,-7.7,-88.4
MCK,Health Care,2022-05-30,310.271240234375,3.7012,1148.38,2022-06-06,307.28985595703125,S2_mercado_bajista,1,-0.96,-11.03
SO,Utilities,2022-05-30,65.13130950927734,17.6317,1148.38,2022-06-06,62.431209564208984,S2_mercado_bajista,1,-4.15,-47.61
LIN,Materials,2022-05-30,314.6495666503906,3.6497,1148.38,2022-06-06,294.7315368652344,S2_mercado_bajista,1,-6.33,-72.69
WEC,Utilities,2022-05-30,90.63270568847656,12.6707,1148.38,2022-06-06,86.39599609375,S2_mercado_bajista,1,-4.67,-53.68
DLTR,Consumer Staples,2022-05-30,159.8800048828125,7.1827,1148.38,2022-06-06,156.0,S2_mercado_bajista,1,-2.43,-27.87
NI,Utilities,2022-05-30,27.560836791992188,41.6669,1148.38,2022-06-06,26.359107971191406,S2_mercado_bajista,1,-4.36,-50.07
CF,Materials,2022-05-30,87.87240600585938,13.0687,1148.38,2022-06-06,80.41067504882812,S2_mercado_bajista,1,-8.49,-97.51
CI,Health Care,2022-07-11,254.72145080566406,4.2986,1094.95,2022-09-26,258.8514709472656,S2_mercado_bajista,11,1.62,17.75
GIS,Consumer Staples,2022-07-11,63.524986267089844,17.2366,1094.95,2022-09-26,64.95796203613281,S2_mercado_bajista,11,2.26,24.7
UNH,Health Care,2022-07-11,491.7390441894531,2.2267,1094.95,2022-09-26,470.2730407714844,S2_mercado_bajista,11,-4.37,-47.8
MCK,Health Care,2022-07-11,323.6282043457031,3.3834,1094.95,2022-09-26,333.8028564453125,S2_mercado_bajista,11,3.14,34.42
BF-B,Consumer Staples,2022-07-11,65.47008514404297,16.7245,1094.95,2022-09-26,61.28658676147461,S2_mercado_bajista,11,-6.39,-69.97
AMT,Real Estate,2022-07-11,224.631103515625,4.8745,1094.95,2022-09-26,187.5127716064453,S2_mercado_bajista,11,-16.52,-180.93
AMGN,Health Care,2022-07-11,219.499267578125,4.9884,1094.95,2022-09-26,200.47935485839844,S2_mercado_bajista,11,-8.67,-94.88
COST,Consumer Staples,2022-07-11,498.7400207519531,2.1954,1094.95,2022-09-26,451.18365478515625,S2_mercado_bajista,11,-9.54,-104.41
WAT,Health Care,2022-07-11,334.010009765625,3.2782,1094.95,2022-09-26,269.5299987792969,S2_mercado_bajista,11,-19.3,-211.38
STZ,Consumer Staples,2022-07-11,226.77346801757812,4.8284,1094.95,2022-09-26,213.72100830078125,S2_mercado_bajista,11,-5.76,-63.02
AJG,Financials,2022-10-24,181.76316833496094,5.6414,1025.4,2022-10-31,181.58001708984375,S2_mercado_bajista,1,-0.1,-1.03
ALLE,Industrials,2022-10-24,101.00758361816406,10.1517,1025.4,2022-10-31,98.08740234375,S2_mercado_bajista,1,-2.89,-29.64
AIG,Financials,2022-10-24,52.20353698730469,19.6424,1025.4,2022-10-31,53.232906341552734,S2_mercado_bajista,1,1.97,20.22
MSCI,Financials,2022-10-24,453.3864440917969,2.2617,1025.4,2022-10-31,440.61468505859375,S2_mercado_bajista,1,-2.82,-28.89
URI,Industrials,2022-10-24,298.54852294921875,3.4346,1025.4,2022-10-31,312.31915283203125,S2_mercado_bajista,1,4.61,47.3
LHX,Industrials,2022-10-24,230.46231079101562,4.4493,1025.4,2022-10-31,212.4785614013672,S2_mercado_bajista,1,-7.8,-80.02
BSX,Health Care,2022-10-24,43.15999984741211,23.7582,1025.4,2022-10-31,41.59000015258789,S2_mercado_bajista,1,-3.64,-37.3
SYK,Health Care,2022-10-24,220.7811737060547,4.6444,1025.4,2022-10-31,203.203857421875,S2_mercado_bajista,1,-7.96,-81.64
PEP,Consumer Staples,2022-10-24,160.88394165039062,6.3736,1025.4,2022-10-31,157.83804321289062,S2_mercado_bajista,1,-1.89,-19.41
DXC,Industrials,2022-10-24,29.889999389648438,34.3059,1025.4,2022-10-31,27.649999618530273,S2_mercado_bajista,1,-7.49,-76.85
CVS,Health Care,2022-11-28,89.93374633789062,11.0823,996.68,2023-01-30,75.71546936035156,S1_rsc_debil,9,-15.81,-157.57
ALB,Materials,2022-11-28,270.0855407714844,3.6902,996.68,2023-03-13,198.76686096191406,S1_rsc_debil,15,-26.41,-263.18
ELV,Health Care,2022-11-28,495.3264465332031,2.0122,996.68,2023-04-17,427.7573547363281,S1_rsc_debil,20,-13.64,-135.96
UPS,Industrials,2023-03-27,162.94845581054688,4.5014,733.49,2023-05-29,144.28793334960938,S1_rsc_debil,9,-11.45,-84.0
HUM,Health Care,2022-11-28,524.4754028320312,1.9003,996.68,2023-06-12,428.9068908691406,S1_rsc_debil,28,-18.22,-181.61
CLX,Consumer Staples,2022-11-28,132.833251953125,7.5032,996.68,2023-09-18,119.6467056274414,S1_rsc_debil,42,-9.93,-98.94
MCK,Health Care,2022-11-28,380.4822998046875,2.6195,996.68,2023-10-02,439.89111328125,S2_mercado_bajista,44,15.61,155.62
PH,Industrials,2022-11-28,285.6006164550781,3.4898,996.68,2023-10-02,380.7629699707031,S2_mercado_bajista,44,33.32,332.09
