Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
ADI,Information Technology,2021-08-09,156.26748657226562,6.3993,1000.0,2021-08-30,149.87850952148438,S1_rsc_debil,3,-4.09,-40.88
AXP,Financials,2021-08-09,156.2866973876953,6.3985,1000.0,2021-11-22,147.93959045410156,S1_rsc_debil,15,-5.34,-53.41
HBAN,Financials,2021-08-09,12.144899368286133,82.3391,1000.0,2021-11-22,12.444225311279297,S1_rsc_debil,15,2.46,24.65
CFG,Financials,2021-08-09,36.69825744628906,27.2493,1000.0,2021-12-13,37.571617126464844,S1_rsc_debil,18,2.38,23.8
KIM,Real Estate,2021-08-09,17.689592361450195,56.5304,1000.0,2022-01-31,19.41632843017578,S2_mercado_bajista,25,9.76,97.61
BEN,Financials,2021-08-09,25.578977584838867,39.0946,1000.0,2022-01-31,24.724634170532227,S2_mercado_bajista,25,-3.34,-33.4
EOG,Energy,2021-08-09,53.69847106933594,18.6225,1000.0,2022-01-31,92.9744873046875,S2_mercado_bajista,25,73.14,731.42
APH,Information Technology,2021-08-09,35.3615608215332,28.2793,1000.0,2022-01-31,37.805152893066406,S2_mercado_bajista,25,6.91,69.1
CB,Financials,2021-08-30,171.50656127929688,5.8068,995.91,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,135.16
AJG,Financials,2021-08-30,138.53404235839844,7.1889,995.91,2022-01-31,149.24949645996094,S2_mercado_bajista,22,7.73,77.03
NDAQ,Financials,2021-10-18,62.98079299926758,15.3585,967.29,2022-01-31,55.92027282714844,S2_mercado_bajista,15,-11.21,-108.44
FTNT,Information Technology,2021-12-06,66.5260009765625,14.927,993.04,2022-01-31,62.86600112915039,S2_mercado_bajista,8,-5.5,-54.63
UDR,Real Estate,2021-12-06,48.45441818237305,20.1881,978.2,2022-01-31,47.600772857666016,S2_mercado_bajista,8,-1.76,-17.23
INTU,Information Technology,2021-12-20,613.69873046875,1.622,995.42,2022-01-31,525.7931518554688,S2_mercado_bajista,6,-14.32,-142.58
SCHW,Financials,2022-03-14,84.79269409179688,12.6287,1070.82,2022-04-18,66.25135040283203,S1_rsc_debil,5,-21.87,-234.15
EXC,Utilities,2022-03-14,37.11186218261719,28.8538,1070.82,2022-04-25,40.140865325927734,S2_mercado_bajista,6,8.16,87.4
PLD,Real Estate,2022-03-14,140.5963592529297,7.6163,1070.82,2022-04-25,140.71051025390625,S2_mercado_bajista,6,0.08,0.87
BRO,Financials,2022-03-14,67.52147674560547,15.8589,1070.82,2022-04-25,60.137691497802734,S2_mercado_bajista,6,-10.94,-117.1
