Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
ADI,Information Technology,2021-08-09,156.26748657226562,6.3993,1000.0,2021-08-30,149.87850952148438,S1_rsc_debil,3,-4.09,-40.88
BKR,Energy,2021-10-18,22.04873275756836,43.8706,967.29,2021-11-15,20.32439613342285,S1_rsc_debil,4,-7.82,-75.65
AXP,Financials,2021-08-09,156.2866973876953,6.3985,1000.0,2021-11-22,147.93959045410156,S1_rsc_debil,15,-5.34,-53.41
HBAN,Financials,2021-08-09,12.144899368286133,82.3391,1000.0,2021-11-22,12.444225311279297,S1_rsc_debil,15,2.46,24.65
EBAY,Consumer Discretionary,2021-11-15,68.55550384521484,13.0062,891.64,2021-12-06,61.60266876220703,S1_rsc_debil,3,-10.14,-90.43
CFG,Financials,2021-08-09,36.69825744628906,27.2493,1000.0,2021-12-13,37.571617126464844,S1_rsc_debil,18,2.38,23.8
ADBE,Information Technology,2021-12-06,654.4500122070312,1.492,976.43,2021-12-13,556.6400146484375,S1_rsc_debil,1,-14.95,-145.93
EPAM,Information Technology,2021-12-20,663.0800170898438,1.4541,964.21,2022-01-17,464.7099914550781,S1_rsc_debil,4,-29.92,-288.46
KIM,Real Estate,2021-08-09,17.689592361450195,56.5304,1000.0,2022-01-31,19.41632843017578,S2_mercado_bajista,25,9.76,97.61
EOG,Energy,2021-08-09,53.69847106933594,18.6225,1000.0,2022-01-31,92.9744873046875,S2_mercado_bajista,25,73.14,731.42
APH,Information Technology,2021-08-09,35.3615608215332,28.2793,1000.0,2022-01-31,37.805152893066406,S2_mercado_bajista,25,6.91,69.1
BEN,Financials,2021-08-09,25.578977584838867,39.0946,1000.0,2022-01-31,24.724634170532227,S2_mercado_bajista,25,-3.34,-33.4
AJG,Financials,2021-08-30,138.53404235839844,7.1889,995.91,2022-01-31,149.24949645996094,S2_mercado_bajista,22,7.73,77.03
CB,Financials,2021-08-30,171.50656127929688,5.8068,995.91,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,135.16
CSCO,Information Technology,2021-12-06,51.86787414550781,18.8253,976.43,2022-01-31,48.56318283081055,S2_mercado_bajista,8,-6.37,-62.21
FTNT,Information Technology,2021-12-06,66.5260009765625,12.3199,819.6,2022-01-31,62.86600112915039,S2_mercado_bajista,8,-5.5,-45.09
INTU,Information Technology,2021-12-20,613.69873046875,1.4504,890.08,2022-01-31,525.7931518554688,S2_mercado_bajista,6,-14.32,-127.49
RF,Financials,2022-03-14,19.140338897705078,53.2687,1019.58,2022-04-04,17.3055362701416,S1_rsc_debil,3,-9.59,-97.74
PEG,Utilities,2022-03-14,57.91608428955078,17.6045,1019.58,2022-04-25,60.39572525024414,S2_mercado_bajista,6,4.28,43.65
PSX,Energy,2022-03-14,67.52739715576172,15.0988,1019.58,2022-04-25,74.38642883300781,S2_mercado_bajista,6,10.16,103.56
FE,Utilities,2022-03-14,36.23488998413086,28.1381,1019.58,2022-04-25,36.3776741027832,S2_mercado_bajista,6,0.39,4.02
WEC,Utilities,2022-03-14,81.77874755859375,12.4676,1019.58,2022-04-25,86.4170150756836,S2_mercado_bajista,6,5.67,57.83
SO,Utilities,2022-03-14,58.33393478393555,17.4784,1019.58,2022-04-25,62.92997741699219,S2_mercado_bajista,6,7.88,80.33
TSN,Consumer Staples,2022-03-14,75.80207824707031,13.4506,1019.58,2022-04-25,81.03882598876953,S2_mercado_bajista,6,6.91,70.44
CINF,Financials,2022-03-14,114.86656188964844,8.8762,1019.58,2022-04-25,110.1260757446289,S2_mercado_bajista,6,-4.13,-42.08
LIN,Materials,2022-03-14,294.3798522949219,3.4635,1019.58,2022-04-25,294.66326904296875,S2_mercado_bajista,6,0.1,0.98
ICE,Financials,2022-03-14,129.29574584960938,7.8856,1019.58,2022-04-25,109.3771743774414,S2_mercado_bajista,6,-15.41,-157.07
LNT,Utilities,2022-05-30,54.317901611328125,18.8883,1025.97,2022-06-06,51.8779296875,S2_mercado_bajista,1,-4.49,-46.09
COR,Health Care,2022-05-30,141.56581115722656,7.2473,1025.97,2022-06-06,139.08168029785156,S2_mercado_bajista,1,-1.75,-18.0
COST,Consumer Staples,2022-05-30,454.2019958496094,2.2588,1025.97,2022-06-06,441.861083984375,S2_mercado_bajista,1,-2.72,-27.88
KHC,Consumer Staples,2022-05-30,29.57980728149414,34.6849,1025.97,2022-06-06,30.51691436767578,S2_mercado_bajista,1,3.17,32.5
CSX,Industrials,2022-05-30,30.353715896606445,33.8006,1025.97,2022-06-06,28.64270782470703,S2_mercado_bajista,1,-5.64,-57.83
SJM,Consumer Staples,2022-05-30,106.48371124267578,9.635,1025.97,2022-06-06,111.37551879882812,S2_mercado_bajista,1,4.59,47.13
DG,Consumer Staples,2022-05-30,209.99371337890625,4.8857,1025.97,2022-06-06,215.92478942871094,S2_mercado_bajista,1,2.82,28.98
HSY,Consumer Staples,2022-05-30,188.46119689941406,5.444,1025.97,2022-06-06,192.21817016601562,S2_mercado_bajista,1,1.99,20.45
PEP,Consumer Staples,2022-05-30,144.56826782226562,7.0968,1025.97,2022-06-06,142.52490234375,S2_mercado_bajista,1,-1.41,-14.5
TDG,Industrials,2022-05-30,512.2738647460938,2.0028,1025.97,2022-06-06,483.0010986328125,S2_mercado_bajista,1,-5.71,-58.63
WY,Real Estate,2022-07-11,30.196073532104492,33.6662,1016.59,2022-09-12,26.82118797302246,S1_rsc_debil,9,-11.18,-113.62
VLO,Energy,2022-07-11,92.88057708740234,10.9451,1016.59,2022-09-26,95.7177505493164,S2_mercado_bajista,11,3.05,31.05
MO,Consumer Staples,2022-07-11,30.706607818603516,33.1065,1016.59,2022-09-26,30.18966293334961,S2_mercado_bajista,11,-1.68,-17.11
KDP,Consumer Staples,2022-07-11,32.805355072021484,30.9885,1016.59,2022-09-26,32.25632858276367,S2_mercado_bajista,11,-1.67,-17.01
UNH,Health Care,2022-07-11,491.7390441894531,2.0673,1016.59,2022-09-26,470.2730407714844,S2_mercado_bajista,11,-4.37,-44.38
FANG,Energy,2022-07-11,91.7349624633789,11.0818,1016.59,2022-09-26,103.62371063232422,S2_mercado_bajista,11,12.96,131.75
MPC,Energy,2022-07-11,77.42791748046875,13.1295,1016.59,2022-09-26,91.65798950195312,S2_mercado_bajista,11,18.38,186.83
OKE,Energy,2022-07-11,44.95391082763672,22.614,1016.59,2022-09-26,42.004940032958984,S2_mercado_bajista,11,-6.56,-66.69
AEE,Utilities,2022-07-11,77.75426483154297,13.0744,1016.59,2022-09-26,71.8304672241211,S2_mercado_bajista,11,-7.62,-77.45
PEG,Utilities,2022-07-11,52.911678314208984,19.2129,1016.59,2022-09-26,49.534507751464844,S2_mercado_bajista,11,-6.38,-64.89
DTE,Utilities,2022-10-24,99.99040222167969,10.1153,1011.44,2022-10-31,98.89054107666016,S2_mercado_bajista,1,-1.1,-11.13
