Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
ADI,Information Technology,2021-08-09,156.26748657226562,12.7986,2000.0,2021-08-30,149.87850952148438,S1_rsc_debil,3,-4.09,-81.77
AXP,Financials,2021-08-09,156.2866973876953,12.797,2000.0,2021-11-22,147.93959045410156,S1_rsc_debil,15,-5.34,-106.82
APH,Information Technology,2021-08-09,35.3615608215332,56.5586,2000.0,2022-01-31,37.805152893066406,S2_mercado_bajista,25,6.91,138.21
KIM,Real Estate,2021-08-09,17.689592361450195,113.0608,2000.0,2022-01-31,19.41632843017578,S2_mercado_bajista,25,9.76,195.23
BEN,Financials,2021-08-09,25.578977584838867,78.1892,2000.0,2022-01-31,24.724634170532227,S2_mercado_bajista,25,-3.34,-66.8
CB,Financials,2021-08-30,171.50656127929688,11.1846,1918.23,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,260.33
UDR,Real Estate,2021-12-06,48.45441818237305,39.0714,1893.18,2022-01-31,47.600772857666016,S2_mercado_bajista,8,-1.76,-33.35
VNO,Real Estate,2022-03-14,40.80473709106445,50.5089,2061.0,2022-04-04,36.66499710083008,S1_rsc_debil,3,-10.15,-209.09
CB,Financials,2022-03-14,200.17987060546875,10.2958,2061.0,2022-04-25,195.3909149169922,S2_mercado_bajista,6,-2.39,-49.31
EXC,Utilities,2022-03-14,37.11186218261719,55.5349,2061.0,2022-04-25,40.140865325927734,S2_mercado_bajista,6,8.16,168.22
DOW,Materials,2022-03-14,49.185523986816406,41.9026,2061.0,2022-04-25,52.42566680908203,S2_mercado_bajista,6,6.59,135.77
LYB,Materials,2022-03-14,75.20703125,27.4044,2061.0,2022-04-25,77.85025024414062,S2_mercado_bajista,6,3.51,72.44
LLY,Health Care,2022-05-30,291.8042297363281,7.1439,2084.61,2022-06-06,287.315673828125,S2_mercado_bajista,1,-1.54,-32.07
AMT,Real Estate,2022-05-30,231.57437133789062,9.0019,2084.61,2022-06-06,217.9262237548828,S2_mercado_bajista,1,-5.89,-122.86
DOW,Materials,2022-05-30,53.39444351196289,39.0417,2084.61,2022-06-06,49.28411102294922,S2_mercado_bajista,1,-7.7,-160.47
MCK,Health Care,2022-05-30,310.271240234375,6.7187,2084.61,2022-06-06,307.28985595703125,S2_mercado_bajista,1,-0.96,-20.03
SO,Utilities,2022-05-30,65.13130950927734,32.0062,2084.61,2022-06-06,62.431209564208984,S2_mercado_bajista,1,-4.15,-86.42
CI,Health Care,2022-07-11,254.72145080566406,7.8526,2000.24,2022-09-26,258.8514709472656,S2_mercado_bajista,11,1.62,32.43
GIS,Consumer Staples,2022-07-11,63.524986267089844,31.4874,2000.24,2022-09-26,64.95796203613281,S2_mercado_bajista,11,2.26,45.12
UNH,Health Care,2022-07-11,491.7390441894531,4.0677,2000.24,2022-09-26,470.2730407714844,S2_mercado_bajista,11,-4.37,-87.32
MCK,Health Care,2022-07-11,323.6282043457031,6.1807,2000.24,2022-09-26,333.8028564453125,S2_mercado_bajista,11,3.14,62.89
BF-B,Consumer Staples,2022-07-11,65.47008514404297,30.5519,2000.24,2022-09-26,61.28658676147461,S2_mercado_bajista,11,-6.39,-127.81
AJG,Financials,2022-10-24,181.76316833496094,10.9225,1985.3,2022-10-31,181.58001708984375,S2_mercado_bajista,1,-0.1,-2.0
ALLE,Industrials,2022-10-24,101.00758361816406,19.655,1985.3,2022-10-31,98.08740234375,S2_mercado_bajista,1,-2.89,-57.4
AIG,Financials,2022-10-24,52.20353698730469,38.03,1985.3,2022-10-31,53.232906341552734,S2_mercado_bajista,1,1.97,39.15
