Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
KIM,Real Estate,2021-08-09,17.689592361450195,56.5304,1000.0,2022-01-31,19.41632843017578,S2_mercado_bajista,25,9.76,97.61
EOG,Energy,2021-08-09,53.69847106933594,18.6225,1000.0,2022-01-31,92.9744873046875,S2_mercado_bajista,25,73.14,731.42
AXP,Financials,2021-08-09,156.2866973876953,6.3985,1000.0,2022-01-31,175.76571655273438,S2_mercado_bajista,25,12.46,124.64
CFG,Financials,2021-08-09,36.69825744628906,27.2493,1000.0,2022-01-31,45.00993728637695,S2_mercado_bajista,25,22.65,226.49
APH,Information Technology,2021-08-09,35.3615608215332,28.2793,1000.0,2022-01-31,37.805152893066406,S2_mercado_bajista,25,6.91,69.1
ADI,Information Technology,2021-08-09,156.26748657226562,6.3993,1000.0,2022-01-31,149.1466064453125,S2_mercado_bajista,25,-4.56,-45.57
BEN,Financials,2021-08-09,25.578977584838867,39.0946,1000.0,2022-01-31,24.724634170532227,S2_mercado_bajista,25,-3.34,-33.4
HBAN,Financials,2021-08-09,12.144899368286133,82.3391,1000.0,2022-01-31,12.9471435546875,S2_mercado_bajista,25,6.61,66.06
AJG,Financials,2021-08-30,138.53404235839844,7.2184,1000.0,2022-01-31,149.24949645996094,S2_mercado_bajista,22,7.73,77.35
CB,Financials,2021-08-30,171.50656127929688,5.8307,1000.0,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,135.71
PEG,Utilities,2022-03-14,57.91608428955078,19.769,1144.94,2022-04-25,60.39572525024414,S2_mercado_bajista,6,4.28,49.02
PSX,Energy,2022-03-14,67.52739715576172,16.9552,1144.94,2022-04-25,74.38642883300781,S2_mercado_bajista,6,10.16,116.3
FE,Utilities,2022-03-14,36.23488998413086,31.5977,1144.94,2022-04-25,36.3776741027832,S2_mercado_bajista,6,0.39,4.51
WEC,Utilities,2022-03-14,81.77874755859375,14.0005,1144.94,2022-04-25,86.4170150756836,S2_mercado_bajista,6,5.67,64.94
SO,Utilities,2022-03-14,58.33393478393555,19.6273,1144.94,2022-04-25,62.92997741699219,S2_mercado_bajista,6,7.88,90.21
TSN,Consumer Staples,2022-03-14,75.80207824707031,15.1043,1144.94,2022-04-25,81.03882598876953,S2_mercado_bajista,6,6.91,79.1
