Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
UDR,Real Estate,2019-09-09,36.597084045410156,27.3246,1000.0,2019-12-09,35.818119049072266,S1_rsc_debil,13,-2.13,-21.28
TFC,Financials,2019-12-09,41.58406448364258,23.5358,978.72,2020-01-27,38.28079605102539,S1_rsc_debil,7,-7.94,-77.75
TSN,Consumer Staples,2019-09-09,69.8271255493164,14.3211,1000.0,2020-02-03,66.1853256225586,S1_rsc_debil,21,-5.22,-52.15
EL,Consumer Staples,2019-09-09,178.3865509033203,5.6058,1000.0,2020-03-09,158.4830780029297,S2_mercado_bajista,26,-11.16,-111.57
LHX,Industrials,2019-09-09,182.0130615234375,5.4941,1000.0,2020-03-09,157.13143920898438,S2_mercado_bajista,26,-13.67,-136.7
WEC,Utilities,2019-09-09,73.32723999023438,13.6375,1000.0,2020-03-09,81.02538299560547,S2_mercado_bajista,26,10.5,104.98
EVRG,Utilities,2019-09-09,49.509700775146484,20.1981,1000.0,2020-03-09,46.252784729003906,S2_mercado_bajista,26,-6.58,-65.78
TJX,Consumer Discretionary,2019-09-09,51.821800231933594,19.2969,1000.0,2020-03-09,47.59514236450195,S2_mercado_bajista,26,-8.16,-81.56
NEE,Utilities,2019-09-09,46.18914794921875,21.6501,1000.0,2020-03-09,47.334617614746094,S2_mercado_bajista,26,2.48,24.8
AWK,Utilities,2019-09-09,106.26414489746094,9.4105,1000.0,2020-03-09,113.35945892333984,S2_mercado_bajista,26,6.68,66.77
SNPS,Information Technology,2019-09-09,134.63999938964844,7.4272,1000.0,2020-03-09,129.8800048828125,S2_mercado_bajista,26,-3.54,-35.35
ACN,Information Technology,2020-02-10,191.35765075683594,5.1468,984.88,2020-03-09,150.03514099121094,S2_mercado_bajista,4,-21.59,-212.68
QRVO,Information Technology,2020-02-10,106.0199966430664,8.1488,863.93,2020-03-09,83.80000305175781,S2_mercado_bajista,4,-20.96,-181.07
WEC,Utilities,2020-04-13,81.7751693725586,11.2756,922.06,2020-06-15,72.31381225585938,S1_rsc_debil,9,-11.57,-106.68
ES,Utilities,2020-04-13,72.42689514160156,12.731,922.06,2020-08-10,69.43264770507812,S1_rsc_debil,17,-4.13,-38.12
CPB,Consumer Staples,2020-04-13,39.80228805541992,23.1661,922.06,2020-08-24,41.5171012878418,S1_rsc_debil,19,4.31,39.73
AZO,Consumer Discretionary,2020-06-15,1130.5999755859375,0.7212,815.38,2020-08-24,1189.1199951171875,S1_rsc_debil,10,5.18,42.2
ILMN,Health Care,2020-04-13,307.7431945800781,2.9962,922.06,2020-09-14,287.45135498046875,S1_rsc_debil,22,-6.59,-60.8
KHC,Consumer Staples,2020-04-13,21.657981872558594,42.5739,922.06,2020-09-14,22.502437591552734,S1_rsc_debil,22,3.9,35.95
AMGN,Health Care,2020-04-13,193.91111755371094,4.7551,922.06,2020-10-05,197.97830200195312,S1_rsc_debil,25,2.1,19.34
DPZ,Consumer Discretionary,2020-11-02,370.37744140625,2.4711,915.23,2020-11-23,361.6888122558594,S1_rsc_debil,3,-2.35,-21.47
BBY,Consumer Discretionary,2020-11-23,87.95402526855469,9.8751,868.55,2020-12-28,78.35552978515625,S1_rsc_debil,5,-10.91,-94.79
CL,Consumer Staples,2020-04-13,63.37434005737305,14.5495,922.06,2021-01-04,71.89653778076172,S1_rsc_debil,38,13.45,123.99
META,Communication Services,2020-11-09,274.53912353515625,3.3337,915.23,2021-01-11,249.17189025878906,S1_rsc_debil,9,-9.24,-84.57
MKTX,Financials,2020-12-28,534.9053344726562,1.4465,773.77,2021-01-18,477.8484802246094,S1_rsc_debil,3,-10.67,-82.54
UNH,Health Care,2020-04-13,261.0924377441406,3.5316,922.06,2021-02-01,295.1199951171875,S1_rsc_debil,42,13.03,120.17
RMD,Health Care,2020-04-13,156.439208984375,5.8941,922.06,2021-02-01,192.693359375,S1_rsc_debil,42,23.17,213.68
AMZN,Consumer Discretionary,2020-11-02,165.56849670410156,5.5278,915.23,2021-02-22,154.64649963378906,S1_rsc_debil,16,-6.6,-60.37
BBY,Consumer Discretionary,2021-01-04,84.4643783569336,10.8448,916.0,2021-02-22,78.79522705078125,S1_rsc_debil,7,-6.71,-61.48
TMO,Health Care,2020-04-13,326.07135009765625,2.8278,922.06,2021-03-01,440.16351318359375,S1_rsc_debil,46,34.99,322.63
ETSY,Consumer Discretionary,2020-11-09,124.91999816894531,7.3265,915.23,2021-05-03,165.50999450683594,S1_rsc_debil,25,32.49,297.38
WHR,Consumer Discretionary,2021-02-08,153.77764892578125,6.0651,932.68,2021-07-19,170.94480895996094,S1_rsc_debil,23,11.16,104.12
DD,Materials,2021-02-08,80.84660339355469,11.5364,932.68,2021-07-19,84.62389373779297,S1_rsc_debil,23,4.67,43.58
HBAN,Financials,2021-05-03,12.534575462341309,78.3825,982.49,2021-07-19,11.078712463378906,S1_rsc_debil,11,-11.61,-114.11
VTR,Real Estate,2021-07-19,50.630977630615234,19.4713,985.85,2021-08-16,46.18121337890625,S1_rsc_debil,4,-8.79,-86.64
IEX,Industrials,2020-11-23,179.02413940429688,5.1003,913.08,2021-08-30,208.6531219482422,S1_rsc_debil,40,16.55,151.12
PYPL,Financials,2021-03-08,248.20046997070312,3.8386,952.75,2021-10-04,257.82708740234375,S1_rsc_debil,30,3.88,36.95
IP,Materials,2021-02-08,36.605735778808594,25.479,932.68,2021-10-11,43.03226852416992,S1_rsc_debil,35,17.56,163.74
SW,Materials,2021-03-08,40.38958740234375,23.5891,952.75,2021-10-18,41.20669174194336,S1_rsc_debil,32,2.02,19.27
HBAN,Financials,2021-08-23,12.5457181930542,77.89,977.19,2021-11-22,12.444226264953613,S1_rsc_debil,13,-0.81,-7.91
ADBE,Information Technology,2021-10-18,643.5800170898438,1.576,1014.29,2021-12-13,556.6400146484375,S1_rsc_debil,8,-13.51,-137.02
MSCI,Financials,2021-02-08,409.9375915527344,2.2752,932.68,2022-01-03,523.9880981445312,S1_rsc_debil,47,27.82,259.48
ADI,Information Technology,2021-10-18,164.622802734375,6.1613,1014.29,2022-01-03,156.38031005859375,S1_rsc_debil,11,-5.01,-50.78
BLK,Financials,2021-07-19,770.28466796875,1.2799,985.85,2022-01-10,759.01220703125,S1_rsc_debil,25,-1.46,-14.43
TSCO,Consumer Discretionary,2020-11-02,25.486984252929688,35.9096,915.23,2022-01-31,39.914791107177734,S2_mercado_bajista,65,56.61,518.1
WAB,Industrials,2021-03-08,75.81591033935547,12.5667,952.75,2022-01-31,85.73727416992188,S2_mercado_bajista,47,13.09,124.68
KIM,Real Estate,2021-07-19,16.702377319335938,59.0245,985.85,2022-01-31,19.416330337524414,S2_mercado_bajista,28,16.25,160.19
CB,Financials,2021-08-30,171.50656127929688,5.7858,992.3,2022-01-31,194.781982421875,S2_mercado_bajista,22,13.57,134.67
NDAQ,Financials,2021-10-18,62.980804443359375,16.1048,1014.29,2022-01-31,55.92027282714844,S2_mercado_bajista,15,-11.21,-113.71
UDR,Real Estate,2021-12-06,48.454410552978516,20.9166,1013.5,2022-01-31,47.600772857666016,S2_mercado_bajista,8,-1.76,-17.86
MCD,Consumer Discretionary,2021-12-20,239.71258544921875,4.1708,999.8,2022-01-31,234.40362548828125,S2_mercado_bajista,6,-2.21,-22.14
VNO,Real Estate,2022-03-14,40.80472946166992,26.8994,1097.62,2022-04-04,36.66499710083008,S1_rsc_debil,3,-10.15,-111.36
CB,Financials,2022-03-14,200.1798553466797,5.4832,1097.62,2022-04-25,195.3909149169922,S2_mercado_bajista,6,-2.39,-26.26
EXC,Utilities,2022-03-14,37.111854553222656,29.576,1097.62,2022-04-25,40.1408805847168,S2_mercado_bajista,6,8.16,89.59
DOW,Materials,2022-03-14,49.18553161621094,22.3159,1097.62,2022-04-25,52.42566680908203,S2_mercado_bajista,6,6.59,72.31
LYB,Materials,2022-03-14,75.20702362060547,14.5947,1097.62,2022-04-25,77.8502426147461,S2_mercado_bajista,6,3.51,38.58
CINF,Financials,2022-03-14,114.86656188964844,9.5556,1097.62,2022-04-25,110.12608337402344,S2_mercado_bajista,6,-4.13,-45.3
L,Financials,2022-03-14,62.363407135009766,17.6004,1097.62,2022-04-25,61.94936752319336,S2_mercado_bajista,6,-0.66,-7.29
AEP,Utilities,2022-03-14,80.6241226196289,13.6141,1097.62,2022-04-25,84.9437484741211,S2_mercado_bajista,6,5.36,58.81
AMGN,Health Care,2022-03-14,206.85748291015625,5.3062,1097.62,2022-04-25,204.1781768798828,S2_mercado_bajista,6,-1.3,-14.22
DTE,Utilities,2022-03-14,109.3577880859375,10.037,1097.62,2022-04-25,113.6689682006836,S2_mercado_bajista,6,3.94,43.27
LLY,Health Care,2022-05-30,291.8042907714844,3.7951,1107.43,2022-06-06,287.315673828125,S2_mercado_bajista,1,-1.54,-17.03
AMT,Real Estate,2022-05-30,231.5743408203125,4.7822,1107.43,2022-06-06,217.92625427246094,S2_mercado_bajista,1,-5.89,-65.27
DOW,Materials,2022-05-30,53.39443588256836,20.7406,1107.43,2022-06-06,49.28411102294922,S2_mercado_bajista,1,-7.7,-85.25
MCK,Health Care,2022-05-30,310.2712097167969,3.5692,1107.43,2022-06-06,307.2899169921875,S2_mercado_bajista,1,-0.96,-10.64
SO,Utilities,2022-05-30,65.13130950927734,17.0031,1107.43,2022-06-06,62.431209564208984,S2_mercado_bajista,1,-4.15,-45.91
LIN,Materials,2022-05-30,314.64947509765625,3.5196,1107.43,2022-06-06,294.73150634765625,S2_mercado_bajista,1,-6.33,-70.1
WEC,Utilities,2022-05-30,90.63272094726562,12.2189,1107.43,2022-06-06,86.39599609375,S2_mercado_bajista,1,-4.67,-51.77
DLTR,Consumer Staples,2022-05-30,159.8800048828125,6.9267,1107.43,2022-06-06,156.0,S2_mercado_bajista,1,-2.43,-26.88
NI,Utilities,2022-05-30,27.56083869934082,40.1815,1107.43,2022-06-06,26.359106063842773,S2_mercado_bajista,1,-4.36,-48.29
CF,Materials,2022-05-30,87.87240600585938,12.6028,1107.43,2022-06-06,80.4106674194336,S2_mercado_bajista,1,-8.49,-94.04
WAT,Health Care,2022-07-11,334.010009765625,3.1613,1055.92,2022-08-22,300.80999755859375,S1_rsc_debil,6,-9.94,-104.96
CI,Health Care,2022-07-11,254.72146606445312,4.1454,1055.92,2022-09-26,258.8514709472656,S2_mercado_bajista,11,1.62,17.12
