Ticker,Sector,Fecha Entrada,Precio Entrada,Nº Acciones,Capital Invertido,Fecha Salida,Precio Salida,Motivo Salida,Semanas en Pos.,Retorno %,P&L USD
TSN,Consumer Staples,2019-09-09,69.8271255493164,14.3211,1000.0,2020-02-03,66.1853256225586,S1_rsc_debil,21,-5.22,-52.15
EL,Consumer Staples,2019-09-09,178.3865509033203,5.6058,1000.0,2020-03-09,158.4830780029297,S2_mercado_bajista,26,-11.16,-111.57
SNPS,Information Technology,2019-09-09,134.63999938964844,7.4272,1000.0,2020-03-09,129.8800048828125,S2_mercado_bajista,26,-3.54,-35.35
LHX,Industrials,2019-09-09,182.0130615234375,5.4941,1000.0,2020-03-09,157.13143920898438,S2_mercado_bajista,26,-13.67,-136.7
WEC,Utilities,2019-09-09,73.32723999023438,13.6375,1000.0,2020-03-09,81.02538299560547,S2_mercado_bajista,26,10.5,104.98
MSI,Information Technology,2019-09-09,153.0446014404297,6.534,1000.0,2020-03-09,143.09951782226562,S2_mercado_bajista,26,-6.5,-64.98
AWK,Utilities,2019-09-09,106.26414489746094,9.4105,1000.0,2020-03-09,113.35945892333984,S2_mercado_bajista,26,6.68,66.77
NEE,Utilities,2019-09-09,46.18914794921875,21.6501,1000.0,2020-03-09,47.334617614746094,S2_mercado_bajista,26,2.48,24.8
EVRG,Utilities,2019-09-09,49.509700775146484,20.1981,1000.0,2020-03-09,46.252784729003906,S2_mercado_bajista,26,-6.58,-65.78
UDR,Real Estate,2019-09-09,36.597084045410156,27.3246,1000.0,2020-03-09,34.839744567871094,S2_mercado_bajista,26,-4.8,-48.02
QRVO,Information Technology,2020-02-10,106.0199966430664,8.9403,947.85,2020-03-09,83.80000305175781,S2_mercado_bajista,4,-20.96,-198.65
INTC,Information Technology,2020-04-13,53.505271911621094,17.7241,948.33,2020-07-20,45.09809875488281,S1_rsc_debil,14,-15.71,-149.01
ES,Utilities,2020-04-13,72.42689514160156,13.0937,948.33,2020-08-24,67.53649139404297,S1_rsc_debil,19,-6.75,-64.03
CPB,Consumer Staples,2020-04-13,39.80228805541992,23.8261,948.33,2020-08-31,37.88615798950195,S1_rsc_debil,20,-4.81,-45.65
AMGN,Health Care,2020-04-13,193.91111755371094,4.8906,948.33,2020-10-19,189.99900817871094,S1_rsc_debil,27,-2.02,-19.13
FTNT,Information Technology,2020-07-20,26.607999801635742,30.0407,799.32,2020-10-26,22.073999404907227,S1_rsc_debil,14,-17.04,-136.2
BMY,Health Care,2020-04-13,47.52878189086914,19.9528,948.33,2020-11-30,49.61310577392578,S1_rsc_debil,33,4.39,41.59
DPZ,Consumer Discretionary,2020-11-02,370.37744140625,2.4487,906.93,2020-12-28,355.9195556640625,S1_rsc_debil,8,-3.9,-35.4
UNH,Health Care,2020-04-13,261.0924377441406,3.6322,948.33,2021-02-01,295.1199951171875,S1_rsc_debil,42,13.03,123.59
RMD,Health Care,2020-04-13,156.439208984375,6.062,948.33,2021-03-01,176.72068786621094,S1_rsc_debil,46,12.96,122.95
ADBE,Information Technology,2020-04-13,344.1099853515625,2.7559,948.33,2021-03-01,440.8299865722656,S1_rsc_debil,46,28.11,266.55
AMZN,Consumer Discretionary,2020-11-02,165.56849670410156,5.4777,906.93,2021-03-01,150.0229949951172,S1_rsc_debil,17,-9.39,-85.15
ETSY,Consumer Discretionary,2020-11-09,124.91999816894531,5.2714,658.51,2021-05-31,164.17999267578125,S1_rsc_debil,29,31.43,206.96
FDX,Industrials,2020-12-28,188.55674743652344,4.8131,907.55,2021-08-02,201.6697235107422,S1_rsc_debil,31,6.95,63.11
QCOM,Information Technology,2021-02-08,131.5372314453125,6.9935,919.91,2021-09-13,120.48844909667969,S1_rsc_debil,31,-8.4,-77.27
SWKS,Information Technology,2020-11-30,129.27542114257812,7.0477,911.09,2021-09-27,142.35061645507812,S1_rsc_debil,43,10.11,92.15
LRCX,Information Technology,2020-04-13,26.097410202026367,36.3382,948.33,2021-10-18,52.98004913330078,S1_rsc_debil,79,103.01,976.87
PYPL,Financials,2021-03-08,248.20046997070312,3.8289,950.34,2021-10-18,238.3358917236328,S1_rsc_debil,32,-3.97,-37.77
SW,Materials,2021-03-08,40.38958740234375,23.5294,950.34,2021-10-18,41.20669174194336,S1_rsc_debil,32,2.02,19.23
ADBE,Information Technology,2021-10-18,643.5800170898438,1.6698,1074.67,2022-01-03,510.70001220703125,S1_rsc_debil,11,-20.65,-221.89
TROW,Financials,2021-10-18,166.98699951171875,6.4356,1074.67,2022-01-10,142.09938049316406,S1_rsc_debil,12,-14.9,-160.17
AAPL,Information Technology,2020-04-13,68.26889038085938,13.8911,948.33,2022-01-31,168.7495574951172,S2_mercado_bajista,94,147.18,1395.79
TSCO,Consumer Discretionary,2020-11-02,25.486984252929688,35.584,906.93,2022-01-31,39.914791107177734,S2_mercado_bajista,65,56.61,513.4
WAB,Industrials,2021-03-08,75.81591033935547,12.5349,950.34,2022-01-31,85.73727416992188,S2_mercado_bajista,47,13.09,124.36
KIM,Real Estate,2021-07-19,16.702377319335938,58.1377,971.04,2022-01-31,19.416330337524414,S2_mercado_bajista,28,16.25,157.78
AXP,Financials,2021-08-02,161.2553253173828,6.0609,977.35,2022-01-31,175.76565551757812,S2_mercado_bajista,26,9.0,87.95
NDAQ,Financials,2021-10-18,62.980804443359375,17.0634,1074.67,2022-01-31,55.92027282714844,S2_mercado_bajista,15,-11.21,-120.48
BLK,Financials,2021-10-18,814.6181640625,1.3192,1074.67,2022-01-31,724.3262939453125,S2_mercado_bajista,15,-11.08,-119.12
ULTA,Consumer Discretionary,2021-10-18,371.45001220703125,2.8932,1074.67,2022-01-31,365.7300109863281,S2_mercado_bajista,15,-1.54,-16.55
EXC,Utilities,2022-03-14,37.111854553222656,33.3796,1238.78,2022-04-25,40.1408805847168,S2_mercado_bajista,6,8.16,101.11
PLD,Real Estate,2022-03-14,140.59637451171875,8.8109,1238.78,2022-04-25,140.7104949951172,S2_mercado_bajista,6,0.08,1.01
BRO,Financials,2022-03-14,67.52147674560547,18.3464,1238.78,2022-04-25,60.137691497802734,S2_mercado_bajista,6,-10.94,-135.47
CB,Financials,2022-03-14,200.1798553466797,6.1883,1238.78,2022-04-25,195.3909149169922,S2_mercado_bajista,6,-2.39,-29.64
SCHW,Financials,2022-03-14,84.79270935058594,14.6095,1238.78,2022-04-25,62.492225646972656,S2_mercado_bajista,6,-26.3,-325.8
PSA,Real Estate,2022-03-14,298.9549865722656,4.1437,1238.78,2022-04-25,303.68817138671875,S2_mercado_bajista,6,1.58,19.61
HSY,Consumer Staples,2022-03-14,185.4458770751953,6.68,1238.78,2022-04-25,202.5255584716797,S2_mercado_bajista,6,9.21,114.09
AIG,Financials,2022-03-14,55.41706085205078,22.3537,1238.78,2022-04-25,53.12881851196289,S2_mercado_bajista,6,-4.13,-51.15
FDS,Financials,2022-03-14,419.28570556640625,2.9545,1238.78,2022-04-25,385.23870849609375,S2_mercado_bajista,6,-8.12,-100.59
FE,Utilities,2022-03-14,36.234886169433594,34.1874,1238.78,2022-04-25,36.37767791748047,S2_mercado_bajista,6,0.39,4.88
CF,Materials,2022-05-30,87.87240600585938,13.64,1198.58,2022-06-06,80.4106674194336,S2_mercado_bajista,1,-8.49,-101.78
